publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p714971,3,0,0,2,0,1,0,0,0,0
2019p714877,5,0,0,3,2,0,0,0,0,0
2019p714807,11,0,0,2,7,1,1,0,0,0
2019p713656,1,0,0,0,1,0,0,0,0,0
2019p712780,2,0,0,1,0,0,0,0,1,0
2019p711999,1,0,0,1,0,0,0,0,0,0
2019p711858,2,0,0,2,0,0,0,0,0,0
2019p711746,1,0,0,1,0,0,0,0,0,0
2019p710442,1,0,0,1,0,0,0,0,0,0
2019p710176,2,0,0,0,1,1,0,0,0,0
2019p709693,2,0,0,0,2,0,0,0,0,0
2019p709499,1,0,0,1,0,0,0,0,0,0
2019p709267,1,0,0,0,1,0,0,0,0,0
2019p709148,4,0,0,3,1,0,0,0,0,0
2019p708837,6,0,0,1,5,0,0,0,0,0
2019p708684,31,0,0,19,10,2,0,0,0,0
2019p706708,3,0,0,3,0,0,0,0,0,0
2019p706646,6,0,0,4,2,0,0,0,0,0
2019p706641,8,0,0,6,2,0,0,0,0,0
2019p706626,17,0,0,7,10,0,0,0,0,0
2019p706616,28,0,0,15,13,0,0,0,0,0
2019p706167,2,0,0,2,0,0,0,0,0,0
2019p705472,84,0,0,66,16,1,1,0,0,0
2019p705225,1,0,0,1,0,0,0,0,0,0
2019p705089,1,0,0,1,0,0,0,0,0,0
2019p703905,1,0,0,1,0,0,0,0,0,0
2019p703732,2,0,0,2,0,0,0,0,0,0
2019p703725,2,0,0,2,0,0,0,0,0,0
2019p703688,2,0,0,2,0,0,0,0,0,0
2019p703669,1,0,0,1,0,0,0,0,0,0
2019p703651,1,0,0,1,0,0,0,0,0,0
2019p703238,1,0,0,1,0,0,0,0,0,0
2019p702660,1,0,0,1,0,0,0,0,0,0
2019p701993,2,0,0,2,0,0,0,0,0,0
2019p701777,1,0,0,1,0,0,0,0,0,0
2019p701681,1,0,0,1,0,0,0,0,0,0
2019p701228,2,0,0,2,0,0,0,0,0,0
2019p701218,1,0,0,1,0,0,0,0,0,0
2019p700409,1,0,0,0,0,0,0,0,1,0
2019p698182,1,0,0,1,0,0,0,0,0,0
2019p697955,3,0,0,3,0,0,0,0,0,0
2019p697818,2,0,0,2,0,0,0,0,0,0
2019p696892,1,0,0,1,0,0,0,0,0,0
2019p696735,2,0,0,0,2,0,0,0,0,0
2019p696662,16,0,0,11,3,2,0,0,0,0
2019p696590,35,0,0,20,12,2,1,0,0,0
2019p696571,92,0,0,54,32,5,1,0,0,0
2019p695436,6,0,0,3,2,0,0,0,1,0
2019p695147,10,0,0,6,4,0,0,0,0,0
2019p695125,5,0,0,4,1,0,0,0,0,0
2019p694721,1,0,0,1,0,0,0,0,0,0
2019p694380,1,0,0,1,0,0,0,0,0,0
2019p694355,1,0,0,1,0,0,0,0,0,0
2019p694277,4,0,0,4,0,0,0,0,0,0
2019p693842,1,0,0,1,0,0,0,0,0,0
2019p693826,1,0,0,1,0,0,0,0,0,0
2019p693822,1,0,0,1,0,0,0,0,0,0
2019p693653,2,0,0,0,2,0,0,0,0,0
2019p693578,1,0,0,1,0,0,0,0,0,0
2019p693317,2,0,0,1,1,0,0,0,0,0
2019p693300,3,0,0,2,1,0,0,0,0,0
2019p692012,1,0,0,1,0,0,0,0,0,0
